Python csv Generation Trial
Worksheet name: 1 DAQ CPU 15min x 0 V x 0 C
"Recording date: 2021-09-20, 15:41:19"
Block length: 1
Delta: 0.5min
"Number of channel:8x1 Temp, Current, Voltage"
> 1045
> 1045
Date,Time,LED Tc,DRV,HS Top,Ple Amb,Lab Amb,N/A,N/A,N/A,Voltage,Current
2021-09-20,15:41:49,21.697,23.145,26.559,22.115,26.608,25.761,23.865,27.554,0.,0.
2021-09-20,15:42:19,21.943,23.157,26.551,22.3,26.555,25.706,24.07,27.497,0.,0.
2021-09-20,15:42:49,21.903,23.176,26.57,22.384,26.573,25.711,23.689,27.532,0.,0.
2021-09-20,15:43:19,22.128,23.16,26.562,22.283,26.541,25.685,23.615,27.502,0.,0.
2021-09-20,15:43:49,22.249,23.189,26.561,22.621,26.577,25.736,24.07,27.535,0.,0.
2021-09-20,15:44:19,21.909,23.226,26.557,22.574,26.557,25.728,24.053,27.503,0.,0.
2021-09-20,15:44:49,22.006,23.255,26.569,22.473,26.59,25.745,24.272,27.535,0.,0.
2021-09-20,15:45:19,22.08,23.292,26.569,22.57,26.571,25.728,23.867,27.518,0.,0.
2021-09-20,15:45:49,22.303,23.283,26.534,22.631,26.604,25.773,24.317,27.55,0.,0.
2021-09-20,15:46:19,22.218,23.341,26.593,22.535,26.545,25.71,23.938,27.494,0.,0.
